series,subseries,date,url,pdf,author,description,keyword,file_name
Accidents & Fatalities,Accident Investigations,2005-02-03,https://railroads.dot.gov/elibrary/hq-2005-11-finalized,True,,"{'Accident Date': 'February 3, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'WELLSVILLE, KS\nUnited States', 'Accident Number': 'HQ-2005-11', 'Investigation Status': 'Finalized'}",,hq200511.pdf
Accidents & Fatalities,Accident Investigations,2005-02-11,https://railroads.dot.gov/elibrary/hq-2005-12-finalized,True,,"{'Accident Date': 'February 11, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'Fonda, NY\nUnited States', 'Accident Number': 'HQ-2005-12', 'Investigation Status': 'Finalized'}",,hq200512.pdf
Accidents & Fatalities,Accident Investigations,2005-02-13,https://railroads.dot.gov/elibrary/hq-2005-15-finalized,True,,"{'Accident Date': 'February 13, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'Montana Rail Link (MRL)', 'Location': 'Trident, MT\nUnited States', 'Accident Number': 'HQ-2005-15', 'Investigation Status': 'Finalized'}",,hq200515.pdf
Accidents & Fatalities,Accident Investigations,2005-02-13,https://railroads.dot.gov/elibrary/hq-2005-13-finalized,True,,"{'Accident Date': 'February 13, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Amtrak (ATK)/Canadian National (CN)', 'Location': 'ROSELAND, LA\nUnited States', 'Accident Number': 'HQ-2005-13', 'Investigation Status': 'Finalized'}",,hq200513.pdf
Accidents & Fatalities,Accident Investigations,2005-02-14,https://railroads.dot.gov/elibrary/hq-2005-14-finalized,True,,"{'Accident Date': 'February 14, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Amtrak (ATK)/Union Pacific (UP)', 'Location': 'Oxnard, CA\nUnited States', 'Accident Number': 'HQ-2005-14', 'Investigation Status': 'Finalized'}",,hq200514.pdf
Accidents & Fatalities,Accident Investigations,2005-02-19,https://railroads.dot.gov/elibrary/hq-2005-16-finalized,True,,"{'Accident Date': 'February 19, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Fulton, AR\nUnited States', 'Accident Number': 'HQ-2005-16', 'Investigation Status': 'Finalized'}",,hq200516.pdf
Accidents & Fatalities,Accident Investigations,2005-02-21,https://railroads.dot.gov/elibrary/hq-2005-17-finalized,True,,"{'Accident Date': 'February 21, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Salem, IL\nUnited States', 'Accident Number': 'HQ-2005-17', 'Investigation Status': 'Finalized'}",,hq200517.pdf
Accidents & Fatalities,Accident Investigations,2005-03-02,https://railroads.dot.gov/elibrary/hq-2005-18-finalized,True,,"{'Accident Date': 'March 2, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Amtrak (ATK)/CSX Transportation (CSX)', 'Location': 'Pompano Beach, FL\nUnited States', 'Accident Number': 'HQ-2005-18', 'Investigation Status': 'Finalized'}",,hq200518.pdf
Accidents & Fatalities,Accident Investigations,2005-03-04,https://railroads.dot.gov/elibrary/hq-2005-20-finalized,True,,"{'Accident Date': 'March 4, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Kansas City Southern (KCS)', 'Location': 'Oil City, LA\nUnited States', 'Accident Number': 'HQ-2005-20', 'Investigation Status': 'Finalized'}",,hq200520.pdf
Accidents & Fatalities,Accident Investigations,2005-03-05,https://railroads.dot.gov/elibrary/hq-2005-19-finalized,True,,"{'Accident Date': 'March 5, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'MEACHUM, OR\nUnited States', 'Accident Number': 'HQ-2005-19', 'Investigation Status': 'Finalized'}",,hq200519.pdf
Accidents & Fatalities,Accident Investigations,2005-03-06,https://railroads.dot.gov/elibrary/hq-2005-21-finalized,True,,"{'Accident Date': 'March 6, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)/Fort Worth & Western (FWW)', 'Location': 'Dublin, TX\nUnited States', 'Accident Number': 'HQ-2005-21', 'Investigation Status': 'Finalized'}",,hq200521.pdf
Accidents & Fatalities,Accident Investigations,2005-03-11,https://railroads.dot.gov/elibrary/hq-2005-22-finalized,True,,"{'Accident Date': 'March 11, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Humble, TX\nUnited States', 'Accident Number': 'HQ-2005-22', 'Investigation Status': 'Finalized'}",,hq200522.pdf
Accidents & Fatalities,Accident Investigations,2005-03-19,https://railroads.dot.gov/elibrary/hq-2005-23-finalized,True,,"{'Accident Date': 'March 19, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Iowa Chicago & Eastern (ICE)/BNSF Railway (BNSF)', 'Location': 'COTTAGE GROVE, MN\nUnited States', 'Accident Number': 'HQ-2005-23', 'Investigation Status': 'Finalized'}",,hq200523.pdf
Accidents & Fatalities,Accident Investigations,2005-03-31,https://railroads.dot.gov/elibrary/hq-2005-24-finalized,True,,"{'Accident Date': 'March 31, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Indiana Railroad Company (INRD)', 'Location': 'Newton, IL\nUnited States', 'Accident Number': 'HQ-2005-24', 'Investigation Status': 'Finalized'}",,hq200524.pdf
Accidents & Fatalities,Accident Investigations,2005-04-02,https://railroads.dot.gov/elibrary/hq-2005-25-finalized,True,,"{'Accident Date': 'April 2, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'WELLINGTON, MO\nUnited States', 'Accident Number': 'HQ-2005-25', 'Investigation Status': 'Finalized'}",,hq200525.pdf
Accidents & Fatalities,Accident Investigations,2005-04-03,https://railroads.dot.gov/elibrary/hq-2005-27-finalized,True,,"{'Accident Date': 'April 3, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Amtrak (ATK)', 'Location': 'LYONS, NY\nUnited States', 'Accident Number': 'HQ-2005-27', 'Investigation Status': 'Finalized'}",,hq200527.pdf
Accidents & Fatalities,Accident Investigations,2005-04-03,https://railroads.dot.gov/elibrary/hq-2005-26-finalized,True,,"{'Accident Date': 'April 3, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Amtrak (ATK)', 'Location': 'HOME VALLEY, WA\nUnited States', 'Accident Number': 'HQ-2005-26', 'Investigation Status': 'Finalized'}",,hq200526.pdf
Accidents & Fatalities,Accident Investigations,2005-04-04,https://railroads.dot.gov/elibrary/hq-2005-28-finalized,True,,"{'Accident Date': 'April 4, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'RIALTO, CA\nUnited States', 'Accident Number': 'HQ-2005-28', 'Investigation Status': 'Finalized'}",,hq200528.pdf
Accidents & Fatalities,Accident Investigations,2005-04-05,https://railroads.dot.gov/elibrary/hq-2005-29-finalized,True,,"{'Accident Date': 'April 5, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Dixon, IL\nUnited States', 'Accident Number': 'HQ-2005-29', 'Investigation Status': 'Finalized'}",,hq200529.pdf
Accidents & Fatalities,Accident Investigations,2005-04-06,https://railroads.dot.gov/elibrary/hq-2005-30-finalized,True,,"{'Accident Date': 'April 6, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)/Canadian Pacific (CP)', 'Location': 'St Paul, MN\nUnited States', 'Accident Number': 'HQ-2005-30', 'Investigation Status': 'Finalized'}",,hq200530.pdf
Accidents & Fatalities,Accident Investigations,2005-04-09,https://railroads.dot.gov/elibrary/hq-2005-31-finalized,True,,"{'Accident Date': 'April 9, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Pueblo, CO\nUnited States', 'Accident Number': 'HQ-2005-31', 'Investigation Status': 'Finalized'}",,hq200531.pdf
Accidents & Fatalities,Accident Investigations,2005-04-10,https://railroads.dot.gov/elibrary/hq-2005-32-finalized,True,,"{'Accident Date': 'April 10, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Canadian Pacific (CP)', 'Location': 'COLUMBUS, WI\nUnited States', 'Accident Number': 'HQ-2005-32', 'Investigation Status': 'Finalized'}",,hq200532.pdf
Accidents & Fatalities,Accident Investigations,2005-04-13,https://railroads.dot.gov/elibrary/hq-2005-33-finalized,True,,"{'Accident Date': 'April 13, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'BLAIRSTOWN, IA\nUnited States', 'Accident Number': 'HQ-2005-33', 'Investigation Status': 'Finalized'}",,hq200533.pdf
Accidents & Fatalities,Accident Investigations,2005-04-14,https://railroads.dot.gov/elibrary/hq-2005-34-finalized,True,,"{'Accident Date': 'April 14, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'SOLON SPRINGS, WI\nUnited States', 'Accident Number': 'HQ-2005-34', 'Investigation Status': 'Finalized'}",,hq200534.pdf
Accidents & Fatalities,Accident Investigations,2005-04-21,https://railroads.dot.gov/elibrary/hq-2005-36-finalized,True,,"{'Accident Date': 'April 21, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Tyrone, OK\nUnited States', 'Accident Number': 'HQ-2005-36', 'Investigation Status': 'Finalized'}",,hq200536.pdf
Accidents & Fatalities,Accident Investigations,2005-04-21,https://railroads.dot.gov/elibrary/hq-2005-35-finalized,True,,"{'Accident Date': 'April 21, 2005', 'Accident Type': 'Side Collision (SDC)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'WAYCROSS, GA\nUnited States', 'Accident Number': 'HQ-2005-35', 'Investigation Status': 'Finalized'}",,hq200535.pdf
Accidents & Fatalities,Accident Investigations,2005-04-28,https://railroads.dot.gov/elibrary/hq-2005-37-finalized,True,,"{'Accident Date': 'April 28, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Montana Rail Link (MRL)', 'Location': 'HELENA, MT\nUnited States', 'Accident Number': 'HQ-2005-37', 'Investigation Status': 'Finalized'}",,hq200537.pdf
Accidents & Fatalities,Accident Investigations,2005-05-02,https://railroads.dot.gov/elibrary/hq-2005-38-finalized,True,,"{'Accident Date': 'May 2, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'NORTH BEND, NE\nUnited States', 'Accident Number': 'HQ-2005-38', 'Investigation Status': 'Finalized'}",,hq200538.pdf
Accidents & Fatalities,Accident Investigations,2005-05-03,https://railroads.dot.gov/elibrary/hq-2005-39-finalized,True,,"{'Accident Date': 'May 3, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Galt, IL\nUnited States', 'Accident Number': 'HQ-2005-39', 'Investigation Status': 'Finalized'}",,hq200539.pdf
Accidents & Fatalities,Accident Investigations,2005-05-05,https://railroads.dot.gov/elibrary/hq-2005-40-finalized,True,,"{'Accident Date': 'May 5, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'CASSELTON, ND\nUnited States', 'Accident Number': 'HQ-2005-40', 'Investigation Status': 'Finalized'}",,hq200540.pdf
Accidents & Fatalities,Accident Investigations,2005-05-10,https://railroads.dot.gov/elibrary/hq-2005-41-finalized,True,,"{'Accident Date': 'May 10, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'Heber Valley Railroad (HVRX)', 'Location': 'Herber, UT\nUnited States', 'Accident Number': 'HQ-2005-41', 'Investigation Status': 'Finalized'}",,hq200541.pdf
Accidents & Fatalities,Accident Investigations,2005-05-12,https://railroads.dot.gov/elibrary/hq-2005-42-finalized,True,,"{'Accident Date': 'May 12, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Hannibal, MO\nUnited States', 'Accident Number': 'HQ-2005-42', 'Investigation Status': 'Finalized'}",,hq200542.pdf
Accidents & Fatalities,Accident Investigations,2005-05-15,https://railroads.dot.gov/elibrary/hq-2005-43-finalized,True,,"{'Accident Date': 'May 15, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Bill, WY\nUnited States', 'Accident Number': 'HQ-2005-43', 'Investigation Status': 'Finalized'}",,hq200543.pdf
Accidents & Fatalities,Accident Investigations,2005-05-20,https://railroads.dot.gov/elibrary/hq-2005-44-finalized,True,,"{'Accident Date': 'May 20, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Nampa, ID\nUnited States', 'Accident Number': 'HQ-2005-44', 'Investigation Status': 'Finalized'}",,hq200544.pdf
Accidents & Fatalities,Accident Investigations,2005-05-30,https://railroads.dot.gov/elibrary/hq-2005-46-finalized,True,,"{'Accident Date': 'May 30, 2005', 'Accident Type': 'Side Collision (SDC)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'CUMBERLAND, MD\nUnited States', 'Accident Number': 'HQ-2005-46', 'Investigation Status': 'Finalized'}",,hq200546.pdf
Accidents & Fatalities,Accident Investigations,2005-05-30,https://railroads.dot.gov/elibrary/hq-2005-45-finalized,True,,"{'Accident Date': 'May 30, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Canadian National (CN)', 'Location': 'Mykoma, MS\nUnited States', 'Accident Number': 'HQ-2005-45', 'Investigation Status': 'Finalized'}",,hq200545.pdf
Accidents & Fatalities,Accident Investigations,2005-06-03,https://railroads.dot.gov/elibrary/hq-2005-47-finalized,True,,"{'Accident Date': 'June 3, 2005', 'Accident Type': 'Side Collision (SDC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'MEMPHIS, TN\nUnited States', 'Accident Number': 'HQ-2005-47', 'Investigation Status': 'Finalized'}",,hq200547.pdf
Accidents & Fatalities,Accident Investigations,2005-06-20,https://railroads.dot.gov/elibrary/hq-2005-48-finalized,True,,"{'Accident Date': 'June 20, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'Norfolk Southern (NS)', 'Location': 'GALILEEM, PA\nUnited States', 'Accident Number': 'HQ-2005-48', 'Investigation Status': 'Finalized'}",,hq200548.pdf
Accidents & Fatalities,Accident Investigations,2005-06-24,https://railroads.dot.gov/elibrary/hq-2005-49-finalized,True,,"{'Accident Date': 'June 24, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Hoxie, AR\nUnited States', 'Accident Number': 'HQ-2005-49', 'Investigation Status': 'Finalized'}",,hq200549.pdf
Accidents & Fatalities,Accident Investigations,2005-06-25,https://railroads.dot.gov/elibrary/hq-2005-50-finalized,True,,"{'Accident Date': 'June 25, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Gypsum, CO\nUnited States', 'Accident Number': 'HQ-2005-50', 'Investigation Status': 'Finalized'}",,hq200550.pdf
Accidents & Fatalities,Accident Investigations,2005-06-26,https://railroads.dot.gov/elibrary/hq-2005-51-finalized,True,,"{'Accident Date': 'June 26, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'Emison, IN\nUnited States', 'Accident Number': 'HQ-2005-51', 'Investigation Status': 'Finalized'}",,hq200551.pdf
Accidents & Fatalities,Accident Investigations,2005-06-28,https://railroads.dot.gov/elibrary/hq-2005-52-finalized,True,,"{'Accident Date': 'June 28, 2005', 'Accident Type': 'Head End Collision (HEC)', 'Railroad Name': 'Kansas City Southern (KCS)', 'Location': 'DIXON, MS\nUnited States', 'Accident Number': 'HQ-2005-52', 'Investigation Status': 'Finalized'}",,hq200552.pdf
Accidents & Fatalities,Accident Investigations,2005-07-02,https://railroads.dot.gov/elibrary/hq-2005-53-finalized,True,,"{'Accident Date': 'July 2, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Verona, MO\nUnited States', 'Accident Number': 'HQ-2005-53', 'Investigation Status': 'Finalized'}",,hq200553.pdf
Accidents & Fatalities,Accident Investigations,2005-07-10,https://railroads.dot.gov/elibrary/hq-2005-54-finalized,True,,"{'Accident Date': 'July 10, 2005', 'Accident Type': 'Head End Collision (HEC)', 'Railroad Name': 'Canadian National (CN)', 'Location': 'ANDING, MS\nUnited States', 'Accident Number': 'HQ-2005-54', 'Investigation Status': 'Finalized'}",,hq200554.pdf
Accidents & Fatalities,Accident Investigations,2005-07-14,https://railroads.dot.gov/elibrary/hq-2005-55-finalized,True,,"{'Accident Date': 'July 14, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'OGALLAH, KS\nUnited States', 'Accident Number': 'HQ-2005-55', 'Investigation Status': 'Finalized'}",,hq200555.pdf
Accidents & Fatalities,Accident Investigations,2005-07-30,https://railroads.dot.gov/elibrary/hq-2005-56-finalized,True,,"{'Accident Date': 'July 30, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Kingman, AZ\nUnited States', 'Accident Number': 'HQ-2005-56', 'Investigation Status': 'Finalized'}",,hq200556.pdf
Accidents & Fatalities,Accident Investigations,2005-07-31,https://railroads.dot.gov/elibrary/hq-2005-57-finalized,True,,"{'Accident Date': 'July 31, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Dakota, Minnesota & Eastern (DM&E)', 'Location': 'Pierre, SD\nUnited States', 'Accident Number': 'HQ-2005-57', 'Investigation Status': 'Finalized'}",,hq200557.pdf
Accidents & Fatalities,Accident Investigations,2005-08-01,https://railroads.dot.gov/elibrary/hq-2005-58-finalized,True,,"{'Accident Date': 'August 1, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Norfolk Southern (NS)', 'Location': 'DANVILLE, PA\nUnited States', 'Accident Number': 'HQ-2005-58', 'Investigation Status': 'Finalized'}",,hq200558.pdf
Accidents & Fatalities,Accident Investigations,2005-08-02,https://railroads.dot.gov/elibrary/hq-2005-60-finalized,True,,"{'Accident Date': 'August 2, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'Amtrak (ATK)/Norfolk Southern (NS)', 'Location': 'RALEIGH, NC\nUnited States', 'Accident Number': 'HQ-2005-60', 'Investigation Status': 'Finalized'}",,hq200560.pdf
Accidents & Fatalities,Accident Investigations,2005-08-02,https://railroads.dot.gov/elibrary/hq-2005-59-finalized,True,,"{'Accident Date': 'August 2, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Thrall, TX\nUnited States', 'Accident Number': 'HQ-2005-59', 'Investigation Status': 'Finalized'}",,hq200559.pdf
Accidents & Fatalities,Accident Investigations,2005-08-04,https://railroads.dot.gov/elibrary/hq-2005-61-finalized,True,,"{'Accident Date': 'August 4, 2005', 'Accident Type': 'Side Collision (SDC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'BELTON, MT\nUnited States', 'Accident Number': 'HQ-2005-61', 'Investigation Status': 'Finalized'}",,hq200561.pdf
Accidents & Fatalities,Accident Investigations,2005-08-05,https://railroads.dot.gov/elibrary/hq-2005-63-finalized,True,,"{'Accident Date': 'August 5, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'Napa Valley Railroad (NVRR)', 'Location': 'ST. HELENA, CA\nUnited States', 'Accident Number': 'HQ-2005-63', 'Investigation Status': 'Finalized'}",,hq200563.pdf
Accidents & Fatalities,Accident Investigations,2005-08-05,https://railroads.dot.gov/elibrary/hq-2005-62-finalized,True,,"{'Accident Date': 'August 5, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Amtrak (ATK)/Union Pacific (UP)', 'Location': 'Somis, CA\nUnited States', 'Accident Number': 'HQ-2005-62', 'Investigation Status': 'Finalized'}",,hq200562.pdf
Accidents & Fatalities,Accident Investigations,2005-08-09,https://railroads.dot.gov/elibrary/hq-2005-64-finalized,True,,"{'Accident Date': 'August 9, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'POCATELLO, ID\nUnited States', 'Accident Number': 'HQ-2005-64', 'Investigation Status': 'Finalized'}",,hq200564.pdf
Accidents & Fatalities,Accident Investigations,2005-08-17,https://railroads.dot.gov/elibrary/hq-2005-65-finalized,True,,"{'Accident Date': 'August 17, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Oriva, WY\nUnited States', 'Accident Number': 'HQ-2005-65', 'Investigation Status': 'Finalized'}",,hq200565.pdf
Accidents & Fatalities,Accident Investigations,2005-08-18,https://railroads.dot.gov/elibrary/hq-2005-66-finalized,True,,"{'Accident Date': 'August 18, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'Falkville, AL\nUnited States', 'Accident Number': 'HQ-2005-66', 'Investigation Status': 'Finalized'}",,hq200566.pdf
Accidents & Fatalities,Accident Investigations,2005-08-19,https://railroads.dot.gov/elibrary/hq-2005-67-finalized,True,,"{'Accident Date': 'August 19, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'Kansas & Oklahoma Railroad (KO)', 'Location': 'NICKERSON, KS\nUnited States', 'Accident Number': 'HQ-2005-67', 'Investigation Status': 'Finalized'}",,hq200567.pdf
Accidents & Fatalities,Accident Investigations,2005-08-21,https://railroads.dot.gov/elibrary/hq-2005-68-finalized,True,,"{'Accident Date': 'August 21, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Heber, CA\nUnited States', 'Accident Number': 'HQ-2005-68', 'Investigation Status': 'Finalized'}",,hq200568.pdf
Accidents & Fatalities,Accident Investigations,2005-08-26,https://railroads.dot.gov/elibrary/hq-2005-69-finalized,True,,"{'Accident Date': 'August 26, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'BLACKTAIL, MT\nUnited States', 'Accident Number': 'HQ-2005-69', 'Investigation Status': 'Finalized'}",,hq200569.pdf
Accidents & Fatalities,Accident Investigations,2005-08-27,https://railroads.dot.gov/elibrary/hq-2005-70-finalized,True,,"{'Accident Date': 'August 27, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'BEAR, NE\nUnited States', 'Accident Number': 'HQ-2005-70', 'Investigation Status': 'Finalized'}",,hq200570.pdf
Accidents & Fatalities,Accident Investigations,2005-08-28,https://railroads.dot.gov/elibrary/hq-2005-72-finalized,True,,"{'Accident Date': 'August 28, 2005', 'Accident Type': 'HazMat Release (HRM)', 'Railroad Name': 'Indiana & Ohio Railway (IORY)', 'Location': 'CINCINNATI, OH\nUnited States', 'Accident Number': 'HQ-2005-72', 'Investigation Status': 'Finalized'}",,hq200572.pdf
